,Age,Athlete,Athlete_URL,Finish,Gender,Height,Region,User_ID,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year,Team,Affiliate,Fran,Helen,Grace,Filthy_50,Fight_Gone_Bad,Sprint_400,Run_5k,Clean_And_Jerk,Snatch,Deadlift,Back_Squat,Max_Pullups
1129,45,Lori McMahon,http://games.crossfit.com/athlete/23161,1030 (7195),0,61.0,0,0,118 lb,1423 (244),1569 (339),2046 (91),875 (227),1282 (10:48),16,,Skypoint CrossFit,0:00,0:00,0:00,0:00,--,0:00,0:00,165 lb,125 lb,270 lb,225 lb,--
1130,31,Gabrielle LeBrocq,http://games.crossfit.com/athlete/123556,1031 (7197),0,70.0,0,0,159 lb,3157 (221),1231 (341),1391 (99),744 (231),674 (10:11),16,Raw Commando,CrossFit Raw Commando,--,--,1:36,--,--,--,--,93 kg,73 kg,146 kg,115 kg,--
1131,22,Mary Cipriano,http://games.crossfit.com/athlete/454387,1032 (7209),0,61.0,0,0,118 lb,1073 (251),1786 (339),707 (104),2744 (203),899 (10:27),16,Visium CrossFit,Visium CrossFit,--,--,--,--,--,1:01,20:06,170 lb,135 lb,250 lb,235 lb,45
1132,24,Annie Beaudet,http://games.crossfit.com/athlete/467557,1033 (7212),0,68.0,0,0,160 lb,1175 (248),1524 (340),935 (102),240 (251),3338 (11:57),16,Lusine CrossFit Taschereau,L'usine CrossFit Taschereau,--,--,--,--,--,--,--,200 lb,175 lb,295 lb,245 lb,--
1133,23,Bailey Lovett,http://games.crossfit.com/athlete/241412,1034 (7214),0,66.14,0,0,137 lb,683 (263),2549 (261),1436 (98),835 (228),1711 (11:06),16,Crossfit MCR,CrossFit MCR,--,--,--,--,--,--,--,0 kg,0 kg,0 kg,0 kg,--
1134,34,Danielle Sawyer,http://games.crossfit.com/athlete/3118,1035 (7215),0,65.0,0,0,137 lb,1600 (241),1705 (339),670 (104),2963 (201),277 (09:35),16,Hurricane CrossFit,Hurricane CrossFit,2:47,7:50,2:18,22:26,364,1:11,22:39,210 lb,165 lb,335 lb,285 lb,42
1135,29,Rahel Kiunke Eke,http://games.crossfit.com/athlete/357564,1035 (7215),0,,0,0,130 lb,380 (273),1673 (339),1560 (96),2057 (208),1545 (10:59),16,myleo CrossFit,Myleo CrossFit,--,--,--,--,--,--,--,--,--,--,--,--
1136,36,Leah Polaski,http://games.crossfit.com/athlete/13439,1037 (7239),0,66.0,0,0,140 lb,748 (261),1338 (340),1646 (95),2473 (204),1034 (10:35),16,CrossFit Santa Cruz,CrossFit Santa Cruz,2:28,8:10,1:48,17:47,370,1:08,21:48,88 kg,70 kg,147 kg,120 kg,36
1137,23,Sarah Eve Grant,http://games.crossfit.com/athlete/114267,1038 (7249),0,61.0,0,0,135 lb,591 (266),1136 (341),2528 (89),1212 (217),1782 (11:09),16,On Track,CrossFit On Track,2:49,--,--,--,--,--,--,195 lb,160 lb,305 lb,245 lb,--
1138,30,Janet yamamoto,http://games.crossfit.com/athlete/61158,1039 (7251),0,,0,0,135 lb,2282 (233),1836 (339),928 (102),369 (245),1836 (11:11),16,DEEP,CrossFit Deep,--,--,--,--,--,--,--,--,--,--,--,--
1139,24,Brooke McCarthy,http://games.crossfit.com/athlete/150025,1040 (7255),0,63.78,0,0,134 lb,921 (256),1655 (339),902 (102),2232 (206),1545 (10:59),16,Zaks Pack East Tamaki,CrossFit East Tamaki,0:00,0:00,0:00,--,--,--,0:00,0 kg,0 kg,0 kg,0 kg,--
1140,30,Brittany Simon,http://games.crossfit.com/athlete/121919,1041 (7260),0,66.0,0,0,156 lb,1338 (246),1000 (342),1578 (96),1220 (217),2124 (11:22),16,Fortius,CrossFit Fortius,0:00,0:00,0:00,--,--,--,0:00,0 lb,0 lb,0 lb,0 lb,0
1141,32,Nicole Seymour,http://games.crossfit.com/athlete/97901,1042 (7269),0,61.81,0,0,56 kg,525 (268),1096 (341),495 (109),1123 (219),4030 (12:15),16,,Iron Angel CrossFit Ballito,--,--,--,--,--,--,--,--,--,--,--,--
1142,24,Taylar Albertini,http://games.crossfit.com/athlete/423544,1043 (7270),0,,0,0,--,910 (257),623 (344),3193 (88),1969 (208),575 (10:03),16,Bear Nation,Bear Republic CrossFit,--,--,--,--,--,--,--,--,--,--,--,--
1143,27,Emily Schultz,http://games.crossfit.com/athlete/484380,1044 (7287),0,,0,0,145 lb,380 (273),4760 (256),962 (102),553 (238),632 (10:08),16,Overdrive,CrossFit Overdrive,--,--,--,--,--,--,--,--,--,--,--,--
1144,21,Stephanie Ross,http://games.crossfit.com/athlete/255116,1045 (7290),0,60.0,0,0,132 lb,775 (260),3246 (259),899 (102),1177 (218),1193 (10:44),16,CrossFit Blue and Gold,CrossFit Blue and Gold,2:31,--,--,--,--,--,--,185 lb,145 lb,285 lb,245 lb,--
1145,26,Sandra Hamilton,http://games.crossfit.com/athlete/419251,1046 (7296),0,64.0,0,0,160 lb,3061 (222),82 (428),962 (102),1865 (209),1326 (10:50),16,CrossFit Bolton,CrossFit Bolton,3:06,--,2:36,--,377,--,--,215 lb,160 lb,405 lb,315 lb,--
1146,28,Alexa Georgoulis,http://games.crossfit.com/athlete/368492,1047 (7297),0,65.0,0,0,126 lb,1095 (250),1690 (339),1045 (102),1877 (209),1590 (11:01),16,,,3:02,--,--,--,--,--,19:27,175 lb,135 lb,300 lb,220 lb,--
1147,24,Tausha Porter,http://games.crossfit.com/athlete/296820,1048 (7304),0,,0,0,137 lb,1338 (246),828 (343),687 (104),3169 (200),1282 (10:48),16,,CrossFit Unknown,--,--,--,--,--,--,--,--,--,--,--,--
1148,28,Anabelle Canchola,http://games.crossfit.com/athlete/22428,1049 (7315),0,65.0,0,0,145 lb,2054 (234),1544 (339),901 (102),2487 (204),329 (09:40),16,SPXF,CrossFit SPXF,0:00,0:00,0:00,0:00,0,0:00,0:00,215 lb,165 lb,315 lb,300 lb,0
1149,33,Lindsay Morris,http://games.crossfit.com/athlete/389309,1050 (7319),0,64.57,0,0,135 lb,1796 (238),2436 (262),1445 (98),743 (231),899 (10:27),16,Chorley shetlands,CrossFit Chorley,--,--,--,--,--,--,--,--,--,--,--,--
1150,20,Mariah Reyes,http://games.crossfit.com/athlete/325920,1051 (7332),0,66.0,0,0,--,616 (265),2089 (323),1233 (101),1871 (209),1523 (10:58),16,CrossFit Davis,CrossFit Davis,2:35,9:54,1:40,--,--,1:19,--,225 lb,187 lb,350 lb,295 lb,--
1151,23,Carrie Adams,http://games.crossfit.com/athlete/265667,1052 (7345),0,68.0,0,0,150 lb,3157 (221),751 (343),426 (111),2594 (203),417 (09:50),16,OPEX,Unaffiliated,--,--,--,--,--,--,--,--,--,--,--,--
1152,37,Robin Harris,http://games.crossfit.com/athlete/243130,1053 (7346),0,66.0,0,0,141 lb,2602 (227),1471 (340),528 (109),1875 (209),870 (10:25),16,CrossFit Laminin,CrossFit Laminin,3:07,--,2:00,--,--,56:00,19:29,215 lb,175 lb,345 lb,305 lb,--
1153,34,Amanda Long,http://games.crossfit.com/athlete/27899,1054 (7373),0,,0,0,--,1980 (235),2074 (332),777 (103),849 (228),1693 (11:05),16,Reebok CrossFit 5th Ave,CrossFit Reebok 5th Ave,0:00,0:00,0:00,0:00,0,0:00,0:00,--,--,--,--,--
1154,31,Iris Boser,http://games.crossfit.com/athlete/170979,1055 (7387),0,60.0,0,0,135 lb,3559 (219),500 (346),1182 (101),1209 (217),937 (10:30),16,CrossFit 808 Plan B,CrossFit 808,3:20,10:31,2:02,19:34,--,--,--,200 lb,155 lb,365 lb,325 lb,32
1155,22,Megan Leskody,http://games.crossfit.com/athlete/207708,1056 (7389),0,,0,0,139 lb,980 (253),3281 (259),1322 (100),997 (222),809 (10:21),16,Carolina CrossFit,Carolina CrossFit,--,--,--,--,--,--,--,--,--,--,--,--
1156,29,Pernilla Skoglösa,http://games.crossfit.com/athlete/396774,1057 (7391),0,67.32,0,0,150 lb,1210 (247),1216 (341),3258 (88),405 (244),1302 (10:49),16,CrossFit Sydkusten The Usual Suspects,CrossFit Sydkusten,--,--,--,--,--,--,--,--,--,--,--,--
1157,31,Rebecca Berendsen,http://games.crossfit.com/athlete/148005,1058 (7392),0,64.0,0,0,148 lb,1706 (239),797 (343),1249 (101),2071 (207),1569 (11:00),16,Fit Farm,CrossFit Fit Farm,3:06,--,1:42,--,--,--,--,200 lb,170 lb,280 lb,265 lb,--
1158,25,Brigitte Osborn,http://games.crossfit.com/athlete/23377,1059 (7400),0,62.0,0,0,128 lb,1920 (236),905 (342),856 (103),501 (240),3218 (11:54),16,Red Wolf,Red Wolf CrossFit,0:00,0:00,0:00,0:00,0,0:00,0:00,0 lb,0 lb,0 lb,0 lb,0
1159,32,Nathalie Geurts,http://games.crossfit.com/athlete/444580,1060 (7402),0,,0,0,--,1980 (235),822 (343),2336 (90),455 (241),1809 (11:10),16,Team PRIMAL,CrossFit Bilzen,--,--,--,--,--,--,--,--,--,--,--,--
1160,26,April Lynn Gemein,http://games.crossfit.com/athlete/524900,1061 (7409),0,65.0,0,0,155 lb,2676 (226),997 (342),485 (109),831 (228),2420 (11:32),16,,CrossFit CSA,--,--,--,--,--,--,--,--,--,--,--,--
1161,31,Alissa Betts,http://games.crossfit.com/athlete/31482,1062 (7413),0,68.0,0,0,150 lb,1386 (245),1745 (339),1113 (101),1579 (212),1590 (11:01),16,CrossFit Maple Ridge,CrossFit Maple Ridge,--,--,--,--,--,--,--,--,--,--,--,--
1162,30,Marie Huffman,http://games.crossfit.com/athlete/251236,1063 (7417),0,,0,0,158 lb,3157 (221),1347 (340),657 (105),827 (228),1429 (10:54),16,Crossfit LCValley,CrossFit LC Valley,--,--,--,--,--,--,--,--,--,--,--,--
1163,26,Amy Bergeron,http://games.crossfit.com/athlete/57805,1064 (7419),0,68.9,0,0,154 lb,1210 (247),1938 (339),756 (103),1222 (217),2293 (11:28),16,,,3:44,0:00,0:00,0:00,--,0:00,0:00,178 lb,143 lb,325 lb,235 lb,26
1164,32,Katie Levy,http://games.crossfit.com/athlete/4540,1065 (7438),0,68.0,0,0,159 lb,1073 (251),1459 (340),2186 (90),540 (238),2180 (11:24),16,TEAM CrossFit Love,CrossFit Love,3:05,9:07,1:43,0:00,363,1:08,24:20,200 lb,170 lb,375 lb,270 lb,34
1165,30,JoEllyn McAtee,http://games.crossfit.com/athlete/56839,1065 (7438),0,67.0,0,0,150 lb,591 (266),1915 (339),990 (102),2249 (206),1693 (11:05),16,CrossFit Bluegrass,CrossFit Bluegrass,3:28,0:00,0:00,0:00,388,0:59,24:15,210 lb,180 lb,335 lb,260 lb,0
1166,36,Erin Ferner,http://games.crossfit.com/athlete/27669,1067 (7439),0,,0,0,--,436 (272),453 (346),475 (110),5138 (191),937 (10:30),16,12 Labours Hydra,12 Labours CrossFit,--,--,--,--,--,--,--,--,--,--,--,--
1167,27,Elise Labrunie,http://games.crossfit.com/athlete/326497,1068 (7441),0,64.96,0,0,126 lb,1095 (250),991 (342),1626 (96),424 (243),3305 (11:56),16,Team CrossFit GaliléÔ,CrossFit Galileo,--,--,--,--,--,--,--,94 kg,76 kg,130 kg,120 kg,--
1168,26,Kathryn Helwig,http://games.crossfit.com/athlete/257259,1069 (7455),0,64.0,0,0,131 lb,1471 (243),1414 (340),766 (103),2502 (204),1302 (10:49),16,CFM Nectar,CrossFit Monterey,2:45,8:51,2:21,--,--,--,--,205 lb,160 lb,280 lb,255 lb,--
1169,27,Jessica Newton,http://games.crossfit.com/athlete/101850,1070 (7457),0,60.0,0,0,57 kg,1980 (235),844 (343),943 (102),2442 (205),1248 (10:47),16,CrossFit Greensboro,CrossFit Greensboro,0:00,--,0:00,0:00,--,--,0:00,225 lb,175 lb,350 lb,320 lb,--
1170,27,Abby Graham,http://games.crossfit.com/athlete/129970,1071 (7459),0,65.0,0,0,145 lb,2484 (229),741 (344),1225 (101),1253 (216),1756 (11:08),16,CrossFit HideOut,CrossFit HideOut,--,--,--,--,--,--,--,210 lb,170 lb,305 lb,260 lb,--
1171,32,Rachel McDowell,http://games.crossfit.com/athlete/564903,1072 (7461),0,,0,0,140 lb,1210 (247),1794 (339),1426 (98),1705 (211),1326 (10:50),16,CrossFit Virtus,CrossFit Virtus,--,--,--,--,--,--,--,--,--,--,--,--
1172,34,Alicia Bowman,http://games.crossfit.com/athlete/262429,1073 (7469),0,,0,0,140 lb,1423 (244),1679 (339),1397 (99),2188 (206),782 (10:20),16,Harbor Strength,CrossFit Gig Harbor,2:20,--,1:45,--,--,--,--,165 lb,125 lb,275 lb,250 lb,--
1173,38,Katrina Nichols,http://games.crossfit.com/athlete/259343,1073 (7469),0,67.0,0,0,154 lb,2429 (230),1435 (340),1355 (99),1216 (217),1034 (10:35),16,GTX,Great Times CrossFit,--,--,--,--,--,--,--,--,--,--,--,--
1174,26,Samantha Petrich,http://games.crossfit.com/athlete/154472,1075 (7471),0,,0,0,--,1980 (235),998 (342),397 (112),1427 (214),2669 (11:40),16,Northwest Iron,Steel Peak CrossFit,--,--,--,--,--,--,--,190 lb,135 lb,305 lb,265 lb,--
1175,35,Kirsten Haysom,http://games.crossfit.com/athlete/357129,1076 (7483),0,68.11,0,0,--,1423 (244),1446 (340),2182 (90),1758 (210),674 (10:11),16,CrossFit Rosebud Team,CrossFit Rosebud,--,--,--,--,--,--,--,--,--,--,--,--
1176,23,Taylor Rector,http://games.crossfit.com/athlete/552309,1077 (7485),0,64.0,0,0,148 lb,1471 (243),1501 (340),2710 (89),374 (245),1429 (10:54),16,CFNX,CrossFit Nixa,--,--,--,--,--,--,--,175 lb,140 lb,315 lb,--,--
1177,32,Colie Cox,http://games.crossfit.com/athlete/311071,1078 (7487),0,,0,0,150 lb,2054 (234),2822 (261),550 (108),611 (236),1450 (10:55),16,CrossFit Lubbock,CrossFit Lubbock,5:31,--,2:10,--,--,--,--,180 lb,150 lb,300 lb,285 lb,--
1178,23,Annnie Voetberg,http://games.crossfit.com/athlete/587693,1079 (7496),0,64.0,0,0,122 lb,980 (253),1333 (340),2938 (88),1823 (210),422 (09:51),16,Thorbeckes CrossFit,Thorbeckes CrossFit,--,--,--,--,--,65:00,--,175 lb,135 lb,--,--,--
1179,36,Liz Watkins,http://games.crossfit.com/athlete/115378,1080 (7510),0,66.0,0,0,145 lb,958 (254),1354 (340),1404 (99),1790 (210),2004 (11:18),16,BackCountry Blue,Backcountry CrossFit,--,--,--,--,--,--,--,185 lb,145 lb,--,225 lb,--
1180,34,Lindy Hallick,http://games.crossfit.com/athlete/490353,1081 (7520),0,66.0,0,0,132 lb,1980 (235),1882 (339),707 (104),858 (228),2093 (11:21),16,The Iron Legion,CrossFit Iron Legion,2:50,--,--,--,--,--,--,190 lb,150 lb,--,235 lb,--
1181,30,Katie Brown,http://games.crossfit.com/athlete/484201,1082 (7524),0,67.0,0,0,142 lb,980 (253),1297 (340),1478 (98),3095 (200),674 (10:11),16,Hoosier CrossFit,Hoosier CrossFit,3:46,9:53,--,--,393,--,--,190 lb,145 lb,300 lb,280 lb,--
1182,28,Sabine Whitfield,http://games.crossfit.com/athlete/64830,1083 (7526),0,,0,0,140 lb,1531 (242),1248 (341),3615 (85),570 (237),562 (10:02),16,CrossFit Yas,CrossFit Yas,--,--,--,--,--,--,--,--,--,--,--,--
1183,27,Leslie Dixon,http://games.crossfit.com/athlete/191220,1084 (7539),0,506.0,0,0,150 lb,525 (268),715 (344),2046 (91),1119 (219),3134 (11:52),16,Koda CrossFit Norman,Koda CrossFit Norman,3:16,9:07,2:04,--,--,1:32,26:09,205 lb,160 lb,305 lb,255 lb,25
1184,30,Shannon Kellum,http://games.crossfit.com/athlete/46885,1085 (7543),0,64.0,0,0,135 lb,616 (265),1817 (339),1093 (101),883 (227),3134 (11:52),16,CFFTW Team,CrossFit Fort Worth,3:03,0:00,1:56,0:00,--,0:00,0:00,175 lb,135 lb,285 lb,250 lb,--
1185,28,Lara Erlank,http://games.crossfit.com/athlete/106380,1086 (7558),0,66.14,0,0,154 lb,1210 (247),1565 (339),2113 (91),2181 (206),489 (09:56),16,,CrossFit District Six,3:57,--,2:42,--,378,--,--,170 lb,135 lb,300 lb,250 lb,30
1186,28,Chelsea Docherty,http://games.crossfit.com/athlete/229700,1087 (7570),0,63.39,0,0,135 lb,2054 (234),667 (344),2697 (89),1520 (213),632 (10:08),16,Team Creature,CrossFit Creature,--,--,--,--,--,--,--,78 kg,53 kg,152 kg,130 kg,--
1187,34,Shannon Mathes,http://games.crossfit.com/athlete/164149,1088 (7576),0,68.0,0,0,140 lb,1210 (247),1812 (339),1008 (102),1189 (217),2357 (11:30),16,CFNX,CrossFit Nixa,3:10,--,2:19,--,387,1:10,--,175 lb,130 lb,320 lb,235 lb,--
1188,30,Chassity Martin,http://games.crossfit.com/athlete/75727,1089 (7579),0,64.0,0,0,133 lb,775 (260),1391 (340),4179 (80),764 (231),470 (09:55),16,CrossFit Grandview,CrossFit Grandview,2:52,0:00,2:12,0:00,396,0:00,0:00,190 lb,150 lb,295 lb,235 lb,--
1189,27,Cassie Rubley,http://games.crossfit.com/athlete/266094,1090 (7595),0,62.0,0,0,125 lb,1471 (243),1715 (339),2556 (89),1098 (219),755 (10:18),16,Muskegon CrossFit,Muskegon CrossFit,--,--,--,--,--,--,--,170 lb,125 lb,285 lb,225 lb,--
1190,30,Quiana Welch,http://games.crossfit.com/athlete/333115,1091 (7598),0,68.0,0,0,158 lb,1095 (250),2081 (329),200 (116),1088 (219),3134 (11:52),16,CrossFit 212,CrossFit 212,--,--,1:44,--,--,--,--,--,195 lb,385 lb,--,--
1191,35,Melinda Metten,http://games.crossfit.com/athlete/10057,1091 (7598),0,65.0,0,0,145 lb,616 (265),1997 (339),2619 (89),776 (230),1590 (11:01),16,CrossFit Bangor,CrossFit Bangor,2:58,9:17,1:59,0:00,324,1:31,26:45,205 lb,160 lb,315 lb,270 lb,31
1192,29,Pamela Evans,http://games.crossfit.com/athlete/12979,1091 (7598),0,60.63,0,0,155 lb,2054 (234),1471 (340),1194 (101),755 (231),2124 (11:22),16,CrossFit Select,CrossFit Select,3:25,9:40,1:28,0:00,0,1:15,0:00,205 lb,170 lb,375 lb,280 lb,35
1193,40,Bethanne Plasman,http://games.crossfit.com/athlete/479372,1091 (7598),0,68.0,0,0,150 lb,1471 (243),2442 (262),1379 (99),1155 (218),1151 (10:42),16,CrossFit 1401,CrossFit 1401,2:45,--,--,--,--,--,--,180 lb,140 lb,275 lb,250 lb,--
1194,27,Meggan Griffith,http://games.crossfit.com/athlete/234373,1095 (7605),0,,0,0,135 lb,1920 (236),1212 (341),1208 (101),1696 (211),1569 (11:00),16,CrossFit Macomb,CrossFit Macomb,--,--,--,--,--,--,--,--,--,--,--,--
1195,22,Amanda Bratcher,http://games.crossfit.com/athlete/458427,1096 (7609),0,65.0,0,0,145 lb,2676 (226),1064 (342),598 (107),702 (233),2569 (11:37),16,,Zombie Bunny CrossFit,3:01,--,1:51,--,--,--,--,205 lb,170 lb,295 lb,245 lb,40
1196,39,Cynthia Arangua,http://games.crossfit.com/athlete/22440,1097 (7613),0,66.0,0,0,148 lb,748 (261),1745 (339),2225 (90),1425 (214),1470 (10:56),16,Prospect CrossFit,Prospect CrossFit,0:00,0:00,0:00,0:00,--,0:00,0:00,--,--,--,--,--
1197,23,Raven Barrett,http://games.crossfit.com/athlete/702647,1098 (7618),0,,0,0,--,910 (257),2551 (261),675 (104),1218 (217),2264 (11:27),16,Buffalo Creek CrossFit,Buffalo Creek CrossFit,--,--,--,--,--,--,--,--,--,--,--,--
1198,25,Alexys D'Tiole,http://games.crossfit.com/athlete/293492,1099 (7621),0,68.0,0,0,149 lb,1095 (250),3752 (258),98 (121),412 (243),2264 (11:27),16,EndGame Athletics,CrossFit EGA,--,--,--,--,--,--,--,216 lb,180 lb,405 lb,285 lb,40
1199,30,Aimee Wiebe,http://games.crossfit.com/athlete/137641,1100 (7629),0,,0,0,119 lb,1005 (252),1571 (339),787 (103),2555 (204),1711 (11:06),16,The CENTAURS,CrossFit Fraser Valley,--,--,--,--,--,--,--,--,--,--,--,--
1200,23,Tracy Whitehead,http://games.crossfit.com/athlete/156838,1101 (7634),0,,0,0,129 lb,2054 (234),936 (342),2442 (89),1135 (218),1067 (10:37),16,,Shop CrossFit,--,--,--,--,--,--,--,--,--,--,--,--
1201,28,Alison Muller,http://games.crossfit.com/athlete/20240,1102 (7635),0,66.54,0,0,158 lb,775 (260),1016 (342),707 (104),3889 (196),1248 (10:47),16,CrossFit Brisbane,CrossFit Brisbane,3:00,8:08,1:37,21:57,416,0:00,0:00,90 kg,70 kg,155 kg,130 kg,--
1202,23,Juliette Marcotti,http://games.crossfit.com/athlete/472420,1103 (7641),0,,0,0,120 lb,775 (260),2871 (260),943 (102),1651 (212),1401 (10:53),16,CrossFit Vagabond,Vagabond CrossFit,--,--,--,--,--,--,--,--,--,--,--,--
1203,33,Amy Edelman,http://games.crossfit.com/athlete/104273,1104 (7643),0,70.0,0,0,158 lb,2988 (223),1161 (341),1172 (101),1255 (216),1067 (10:37),16,CrossFit Virtuosity,CrossFit Virtuosity,0:00,0:00,0:00,0:00,0,0:00,0:00,0 lb,0 lb,0 lb,0 lb,0
1204,39,Kelley Galant,http://games.crossfit.com/athlete/147228,1105 (7653),0,,0,0,157 lb,3157 (221),1058 (342),1124 (101),1188 (217),1126 (10:40),16,CrossFit Cedar Park,CrossFit Cedar Park,--,--,--,--,371,--,--,--,--,325 lb,275 lb,--
1205,23,Paige Castillo,http://games.crossfit.com/athlete/181992,1106 (7663),0,60.0,0,0,125 lb,1095 (250),923 (342),1072 (101),2280 (206),2293 (11:28),16,CrossFit 808,CrossFit 808,--,--,--,--,--,--,--,--,--,--,--,--
1206,35,Celine Martin,http://games.crossfit.com/athlete/154496,1107 (7666),0,,0,0,112 lb,1423 (244),2285 (262),209 (116),981 (223),2768 (11:43),16,CrossFit Lyon,CrossFit Lyon,--,--,--,--,--,--,--,--,--,--,--,--
1207,31,Chelsea Rankin,http://games.crossfit.com/athlete/21759,1107 (7666),0,65.0,0,0,143 lb,1920 (236),1882 (339),1182 (101),1761 (210),921 (10:28),16,CrossFit Grandview,CrossFit Grandview,0:00,0:00,0:00,0:00,--,0:00,0:00,0 lb,0 lb,0 lb,0 lb,--
1208,28,Janne Knudsen,http://games.crossfit.com/athlete/130341,1109 (7673),0,66.54,0,0,138 lb,1005 (252),1482 (340),2442 (89),1677 (211),1067 (10:37),16,CrossFit Åsane,CrossFit Asane,--,--,2:44,20:52,353,--,22:16,86 kg,64 kg,138 kg,123 kg,26
1209,26,Josee Charron,http://games.crossfit.com/athlete/239860,1110 (7676),0,,0,0,--,2371 (231),1263 (341),1413 (99),1084 (219),1545 (10:59),16,Physics CrossFit,Physics CrossFit,--,--,--,--,--,--,--,--,--,--,--,--
1210,32,Jackie Perez,http://games.crossfit.com/athlete/35152,1111 (7679),0,64.0,0,0,135 lb,591 (266),1280 (340),1289 (100),1181 (218),3338 (11:57),16,CrossFit CSA,CrossFit CSA,3:36,8:52,4:00,21:30,325,1:24,0:00,165 lb,135 lb,265 lb,230 lb,44
1211,24,Maggie Ingell,http://games.crossfit.com/athlete/475514,1112 (7682),0,65.0,0,0,145 lb,718 (262),993 (342),1630 (96),3667 (197),674 (10:11),16,Crossfit Sprag,CrossFit Sprag,--,--,2:29,--,--,1:09,--,175 lb,135 lb,335 lb,245 lb,--
1212,23,Caroline Conners,http://games.crossfit.com/athlete/314703,1113 (7683),0,61.0,0,0,130 lb,1600 (241),1027 (342),3030 (88),597 (237),1429 (10:54),16,CrossFit MF,CrossFit MF,3:11,--,2:30,--,--,1:20,--,175 lb,140 lb,295 lb,245 lb,--
1213,23,Grace Schwemmer,http://games.crossfit.com/athlete/145063,1114 (7700),0,,0,0,130 lb,1005 (252),814 (343),1724 (94),1949 (209),2208 (11:25),16,On Track Black,CrossFit On Track,--,--,--,--,--,--,--,--,--,--,--,--
1214,39,Holly Mikolajewski,http://games.crossfit.com/athlete/33368,1115 (7705),0,62.0,0,0,145 lb,1796 (238),1749 (339),3261 (88),429 (243),470 (09:55),16,No Mercy,No Mercy CrossFit,2:45,0:00,1:19,19:56,397,0:00,24:35,175 lb,135 lb,340 lb,270 lb,26
1215,30,Amina Maskhadova,http://games.crossfit.com/athlete/779296,1116 (7720),0,62.6,0,0,48 kg,1338 (246),1882 (339),2356 (90),1484 (214),660 (10:10),16,Redyar,CrossFit Redyar,4:40,--,2:31,--,--,0:56,18:00,87 kg,67 kg,130 kg,120 kg,36
1216,27,Joanne McGurk,http://games.crossfit.com/athlete/584999,1117 (7721),0,,0,0,--,1980 (235),1597 (339),300 (114),2777 (202),1067 (10:37),16,,CrossFit BSK,--,--,--,--,--,--,--,--,--,--,--,--
1217,33,Nikki Eckebrecht,http://games.crossfit.com/athlete/39339,1118 (7731),0,66.0,0,0,165 lb,2988 (223),569 (345),2171 (90),434 (242),1569 (11:00),16,Outlaw North,Outlaw CrossFit North,--,--,--,--,--,--,--,--,--,340 lb,280 lb,--
1218,34,Madelyn Curley,http://games.crossfit.com/athlete/15603,1119 (7734),0,64.0,0,0,117 lb,262 (279),3255 (259),468 (110),658 (235),3091 (11:51),16,Valley CrossFit,Valley CrossFit,3:11,8:31,3:36,17:16,366,1:25,25:25,165 lb,150 lb,265 lb,200 lb,45
1219,27,Sophie Rees,http://games.crossfit.com/athlete/618386,1120 (7745),0,62.2,0,0,128 lb,1095 (250),648 (344),982 (102),2014 (208),3006 (11:49),16,Esprit de Corps CrossFit,Esprit de Corps CrossFit,--,--,--,--,--,--,--,80 kg,65 kg,128 kg,98 kg,--
1220,40,Stefania Cazzaniga,http://games.crossfit.com/athlete/27479,1121 (7763),0,,0,0,139 lb,2324 (232),1481 (340),1794 (93),994 (222),1170 (10:43),16,,CrossFit V-One,0:00,0:00,0:00,0:00,--,0:00,0:00,0 kg,0 kg,0 lb,0 lb,0
1221,38,Carolina Gutierrez,http://games.crossfit.com/athlete/244044,1122 (7770),0,64.17,0,0,70 kg,1706 (239),2485 (262),618 (106),2329 (205),632 (10:08),16,SA Giants,CrossFit Esteio,--,--,--,--,--,--,--,90 kg,69 kg,145 kg,120 kg,--
1222,32,Megan Taylor,http://games.crossfit.com/athlete/208344,1123 (7773),0,65.0,0,0,145 lb,380 (273),2939 (260),687 (104),2111 (207),1656 (11:04),16,CrossFit Interbay,CrossFit Interbay,3:38,8:32,1:51,22:39,365,1:25,25:24,195 lb,155 lb,325 lb,245 lb,30
1223,29,Samantha Gilham,http://games.crossfit.com/athlete/98645,1124 (7778),0,62.0,0,0,130 lb,1600 (241),627 (344),3317 (87),1613 (212),621 (10:07),16,Ocean CrossFit,Ocean CrossFit,4:24,--,3:24,--,299,--,--,175 lb,130 lb,290 lb,260 lb,20
1224,28,Bao-An Nguyen,http://games.crossfit.com/athlete/101742,1125 (7781),0,65.0,0,0,140 lb,3157 (221),560 (345),1368 (99),488 (240),2208 (11:25),16,Brick Nation,Brick CrossFit,3:30,9:04,2:01,--,--,--,22:36,195 lb,165 lb,305 lb,265 lb,0
1225,36,LeslieRae Newton,http://games.crossfit.com/athlete/258263,1126 (7783),0,69.0,0,0,151 lb,2054 (234),1466 (340),2010 (91),280 (249),1973 (11:17),16,CROSSFIT TIER 1,CrossFit Tier1,--,--,--,--,--,--,--,175 lb,135 lb,315 lb,245 lb,--
1226,32,Jessica Pamanian,http://games.crossfit.com/athlete/200222,1127 (7792),0,64.0,0,0,137 lb,1531 (242),745 (344),707 (104),329 (247),4480 (12:25),16,CrossFit Virtuosity,CrossFit Virtuosity,0:00,--,--,--,--,--,--,0 lb,0 lb,0 lb,0 lb,0
